Membership No  Date Joined  Active  
    44113      2017-5-11    no    
    22087      2020-4-6     no    
    81806      2018-2-2     no    
    35040      2017-4-9     no    
    77977      2020-9-5     no    
    33664      2015-4-15    no    
    54929      2019-12-2    no    
    97077      2017-4-20    no    
    72705      2015-1-18    no    
    59760      2019-11-7    no    
    22183      2018-10-6    no    
    10515      2019-9-19    no    
    47495      2015-12-22   no    
    79907      2017-11-23   no    
    89664      2017-9-1     no    
